Datum,Jaar,Maand,Dag,Staatshoofd,WindrVec,WindrCat9,WindrCat5,Windsnelh,WindsnelhGem,WindsnelhMax,WindsnelhMaxUur,WindsnelhMin,WindsnelhMinUur,Windstoot,WindstootUur,TempGem,TempMin,TempMinUur,TempMax,TempMaxUur,Zonneschijn,ZonneschijnPerc,Straling,NeerslagDuur,RegenHoeveelh,RegenHoeveelhMax,LuchtdrukGem,LuchtdrukMax,LuchtdrukMin,ZichtMin,ZichtMinCat85,ZichtMinCat5,ZichtMinUur,ZichtMax,ZichtMaxCat85,ZichtMaxCat5,ZichtMaxUur,BewolkingGem,VochtighGem,VochtighMax,VochtighMaxUur,VochtighMin,VochtighMinUur,Verdamping
27-4-1917,1917,4,27,Wilhelmina,273,W,W,5.1,5.7,8.2,11,3.1,23,,,6.7,3.5,,9.5,,0,0,,,0.1,0.1,1020.4,1025.4,1018.7,,,,,,,,,,86,,,,,
30-4-1917,1917,4,30,Wilhelmina,306,NW,W,3.1,3.1,6.2,16,1,7,,,9.6,2.5,,16.2,,11.4,77,,,0,0,1017.9,1021.9,1015.2,,,,,,,,,,69,,,,,
31-8-1917,1917,8,31,Wilhelmina,229,ZW,W,3.6,4.6,7.2,7,2.6,21,,,13.6,10.7,,17.7,,2,15,,,10.1,4.3,1009.7,1013,1007.4,,,,,,,,,,94,,,,,
27-4-1918,1918,4,27,Wilhelmina,344,N,N,3.1,4.1,6.2,15,2.1,8,,,9.9,7.9,,13.4,,1.5,10,,,5.5,1.9,1016.4,1017.4,1015.4,,,,,,,,,,90,,,,,
30-4-1918,1918,4,30,Wilhelmina,56,NO,O,7.2,7.2,9.3,11,4.6,24,,,8.5,5.6,,11.7,,3.3,22,,,0,0,1016.5,1022,1012.7,,,,,,,,,,72,,,,,
31-8-1918,1918,8,31,Wilhelmina,246,ZW,W,4.1,4.6,6.7,15,3.6,5,,,13.6,9.3,,17.2,,1.8,13,,,12.6,3.4,1008.4,1013.2,1003.6,,,,,,,,,,79,,,,,
27-4-1919,1919,4,27,Wilhelmina,333,NW,N,3.6,7.2,14.4,3,2.1,17,,,5.2,2,,8.7,,8.3,57,,,3.6,2,1005.8,1008.8,999.9,,,,,,,,,,61,,,,,
30-4-1919,1919,4,30,Wilhelmina,10,N,N,1.5,3.1,5.7,17,1,1,,,5.7,2.3,,9.8,,1.7,11,,,9.1,2.9,1004.4,1007.6,1001.2,,,,,,,,,,77,,,,,
31-8-1919,1919,8,31,Wilhelmina,155,ZO,Z,0.5,3.1,4.6,4,1.5,15,,,11.9,7,,18.9,,3,22,,,1.4,1,1013.3,1017,1012,,,,,,,,,,83,,,,,
27-4-1920,1920,4,27,Wilhelmina,238,ZW,W,5.7,6.2,8.2,15,3.1,20,,,7.5,5.3,,9.8,,0,0,,,9.7,2.1,1003.4,1011.4,997.2,,,,,,,,,,90,,,,,
30-4-1920,1920,4,30,Wilhelmina,238,ZW,W,4.6,5.1,6.7,10,3.1,21,,,7.9,3.7,,12.3,,6.4,43,,,4.5,0.7,1015,1016.7,1013.4,,,,,,,,,,71,,,,,
31-8-1920,1920,8,31,Wilhelmina,342,N,N,5.7,5.7,7.7,14,3.1,23,,,14,11.3,,16.7,,0,0,,,1.1,0.4,1015.7,1017.2,1014.7,,,,,,,,,,96,,,,,
27-4-1921,1921,4,27,Wilhelmina,95,O,O,5.7,5.7,7.7,12,3.6,1,,,15.4,9.5,,20.4,,10.6,72,,,0,0,1021.3,1022.3,1020.2,,,,,,,,,,58,,,,,
30-4-1921,1921,4,30,Wilhelmina,36,NO,N,4.6,5.1,6.7,13,3.6,1,,,13.7,6.8,,20.2,,12,81,,,0,0,1023.7,1025,1022,,,,,,,,,,66,,,,,
31-8-1921,1921,8,31,Wilhelmina,260,W,W,2.1,3.6,5.7,5,1.5,21,,,13.2,4.9,,20.3,,9.2,67,,,0,0,1023.4,1024,1022.7,,,,,,,,,,76,,,,,
27-4-1922,1922,4,27,Wilhelmina,246,ZW,W,4.6,5.1,8.2,14,2.6,4,,,5.8,3.4,,9.9,,4.2,29,,,3.9,1.4,995.5,999,992.7,,,,,,,,,,76,,,,,
30-4-1922,1922,4,30,Wilhelmina,21,N,N,6.7,7.2,10.3,16,4.1,2,,,7.2,3.7,,9.9,,0,0,,,0,0,1007.4,1011.6,1005.5,,,,,,,,,,75,,,,,
31-8-1922,1922,8,31,Wilhelmina,185,Z,Z,3.1,3.6,6.2,1,2.1,17,,,15.1,9.2,,18.7,,4.9,36,,,0.9,0.3,1006.8,1008.2,1005.6,,,,,,,,,,78,,,,,
27-4-1923,1923,4,27,Wilhelmina,278,W,W,4.6,5.7,9.3,10,2.1,21,,,6.8,-0.1,,11.5,,7.4,51,,,0.7,0.6,1009.2,1013,1002.3,,,,,,,,,,74,,,,,
30-4-1923,1923,4,30,Wilhelmina,222,ZW,Z,6.2,6.2,9.8,18,2.6,1,,,10.4,6.7,,12.4,,0,0,,,2,1,1014.4,1017.4,1012,,,,,,,,,,91,,,,,
31-8-1923,1923,8,31,Wilhelmina,218,ZW,Z,3.1,4.1,6.2,1,1.5,19,,,13.2,7,,18.5,,9.6,70,,,0,0,1015,1016.3,1012.7,,,,,,,,,,73,,,,,
27-4-1924,1924,4,27,Wilhelmina,216,ZW,Z,8.2,9.3,13.4,22,7.2,3,,,10.1,8.4,,13.9,,2.8,19,,,2.6,0.9,1002.8,1006.3,999,,,,,,,,,,73,,,,,
30-4-1924,1924,4,30,Wilhelmina,94,O,O,0.5,2.1,2.6,2,0.5,5,,,7.5,2.3,,12,,0.9,6,,,6.4,2.4,999.8,1000.6,999.4,,,,,,,,,,94,,,,,
31-8-1924,1924,8,31,Wilhelmina,241,ZW,W,3.1,3.6,4.6,13,1.5,4,,,15.3,11.8,,18.5,,0.1,1,,,9.2,5.5,1005.5,1005.9,1005,,,,,,,,,,95,,,,,
27-4-1925,1925,4,27,Wilhelmina,16,N,N,1.5,2.6,4.6,13,1,1,,,6.1,-0.1,,11.7,,6.8,46,,,2.8,1.8,1007.8,1009.9,1005.1,,,,,,,,,,87,,,,,
30-4-1925,1925,4,30,Wilhelmina,170,Z,Z,1,3.1,5.7,15,0.5,5,,,7.2,-0.5,,13.8,,7,47,,,2.2,0.8,1010.4,1013.9,1004.4,,,,,,,,,,87,,,,,
31-8-1925,1925,8,31,Wilhelmina,243,ZW,W,4.1,4.1,6.7,24,3.1,5,,,16.3,11.6,,18.6,,0,0,,,0.2,0.2,1022.2,1024.3,1019.6,,,,,,,,,,94,,,,,
27-4-1926,1926,4,27,Wilhelmina,195,Z,Z,2.6,2.6,3.6,11,1.5,2,,,9.2,7,,11.8,,0,0,,,0.3,0.2,1014.2,1015.5,1012.7,,,,,,,,,,88,,,,,
